os_name,average_bitrate,average_bitrate
Android,144.0,2464
Android,183.0,1
Android,196.0,15
Android,222.0,1201
Android,248.0,27
Android,258.0,1
Android,274.0,3
Android,296.0,1
Android,297.0,1
Android,300.0,9023
Android,325.0,1
Android,333.0,64
Android,336.0,4
Android,343.0,1
Android,345.0,1
Android,348.0,5
Android,350.0,70
Android,360.0,1
Android,362.0,1
Android,367.0,14
Android,372.0,20
Android,375.0,26482
Android,390.0,1
Android,392.0,7
Android,398.0,1
Android,400.0,10637
Android,408.0,1
Android,411.0,3
Android,416.0,1
Android,420.0,1
Android,427.0,1
Android,433.0,3
Android,440.0,1
Android,447.0,1
Android,448.0,1
Android,450.0,222
Android,451.0,26
Android,467.0,1269
Android,475.0,2
Android,480.0,7
Android,489.0,1
Android,492.0,1
Android,496.0,1
Android,500.0,10489
Android,509.0,1
Android,510.0,5
Android,514.0,1
Android,515.0,1
Android,520.0,21
Android,525.0,191
Android,532.0,9
Android,533.0,2367
Android,540.0,8
Android,543.0,2
Android,548.0,3
Android,550.0,267
Android,556.0,1
Android,560.0,6
Android,567.0,814
Android,569.0,1
Android,571.0,1
Android,575.0,94
Android,580.0,1
Android,583.0,3
Android,584.0,1
Android,586.0,1
Android,589.0,1
Android,599.0,2
Android,600.0,55696
Android,614.0,1
Android,620.0,9
Android,622.0,1
Android,625.0,918
Android,627.0,1
Android,628.0,19
Android,629.0,2
Android,633.0,320
Android,638.0,1
Android,640.0,11
Android,643.0,2
Android,648.0,1
Android,650.0,1355
Android,657.0,1
Android,660.0,20
Android,662.0,1
Android,667.0,245
Android,671.0,1
Android,672.0,11
Android,675.0,9
Android,680.0,7
Android,686.0,5
Android,688.0,485
Android,689.0,1
Android,690.0,1
Android,700.0,673
Android,711.0,1
Android,713.0,1
Android,717.0,1
Android,720.0,13
Android,725.0,45
Android,729.0,4
Android,733.0,163
Android,738.0,2
Android,740.0,1
Android,743.0,3
Android,744.0,1
Android,750.0,389
Android,757.0,1
Android,760.0,39
Android,767.0,8
Android,771.0,2
Android,775.0,35
Android,780.0,6
Android,783.0,5
Android,800.0,186
Android,814.0,1
Android,820.0,19
Android,825.0,7
Android,833.0,19
Android,836.0,1
Android,838.0,1
Android,848.0,13
Android,850.0,24
Android,854.0,2
Android,858.0,1
Android,860.0,10
Android,863.0,1
Android,867.0,33
Android,870.0,1
Android,871.0,1
Android,875.0,70
Android,880.0,9
Android,883.0,1
Android,888.0,1
Android,900.0,414
Android,914.0,1
Android,920.0,4
Android,922.0,1
Android,925.0,5
Android,933.0,13
Android,938.0,2
Android,940.0,1
Android,943.0,1
Android,950.0,12
Android,967.0,20
Android,975.0,2
Android,980.0,1
Android,1000.0,35
Android,1005.0,1
Android,1014.0,3
Android,1020.0,17
Android,1033.0,17
Android,1043.0,1
Android,1050.0,15
Android,1060.0,1
Android,1075.0,1
Android,1084.0,1
Android,1100.0,37
Android,1117.0,1
Android,1125.0,9
Android,1156.0,1
Android,1167.0,1
Android,1175.0,7
Android,1177.0,1
Android,1183.0,1
Android,1193.0,1
Android,1200.0,1064
Android,1250.0,11
Android,1267.0,3
Android,1300.0,1
Android,1320.0,480
Android,1338.0,1
Android,1367.0,1
Android,1380.0,1
Android,1400.0,2
Android,1460.0,1
Android,1500.0,174
Android,1600.0,26
Android,1800.0,1
Android,2300.0,1
Android,2475.0,1
Android,2800.0,2
Android,3250.0,1
Android,3256.0,1
Android,4150.0,1
Android,4266.0,1
Android,8815.0,1
Android,12859.0,1
Android,17021.0,1
Android,18263.0,1
Android,20439.0,1
Android,21279.0,1
Android,25780.0,1
Android,26057.0,1
Android,31371.0,1
Android,32478.0,1
Android,35215.0,1
Android,39799.0,1
Android,43600.0,1
Android,47684.0,1
Android,51530.0,1
Android,60300.0,2
Android,61870.0,1
Android,66293.0,1
Android,68173.0,1
Android,75281.0,2
Android,90263.0,1
Android,100250.0,1
Android,106492.0,1
Android,126977.0,1
Android,133542.0,1
Android,155602.0,1
Android,163807.0,1
Android,186238.0,1
Android,200125.0,1
Android,233417.0,2
Android,265428.0,1
Android,272761.0,1
Android,300000.0,156090
BlackBerry OS,300000.0,13
Chrome OS,300.0,3
Chrome OS,375.0,3
Chrome OS,400.0,1
Chrome OS,450.0,1
Chrome OS,500.0,2
Chrome OS,550.0,1
Chrome OS,600.0,4
Chrome OS,650.0,1
Chrome OS,660.0,1
Chrome OS,700.0,5
Chrome OS,750.0,1
Chrome OS,900.0,1
Chrome OS,1200.0,11
Chrome OS,1320.0,6
Chrome OS,300000.0,5
Fedora,1320.0,1
Firefox OS,400.0,1
Linux,300.0,4
Linux,375.0,27
Linux,451.0,1
Linux,500.0,3
Linux,550.0,1
Linux,567.0,1
Linux,600.0,15
Linux,625.0,1
Linux,628.0,1
Linux,650.0,1
Linux,667.0,2
Linux,700.0,54
Linux,720.0,1
Linux,750.0,1
Linux,775.0,1
Linux,800.0,2
Linux,833.0,1
Linux,900.0,8
Linux,1200.0,62
Linux,1320.0,32
Linux,1500.0,8
Linux,2800.0,1
Linux,300000.0,490
Mac OS X,144.0,1
Mac OS X,300.0,31
Mac OS X,375.0,63
Mac OS X,400.0,5
Mac OS X,448.0,2
Mac OS X,450.0,1
Mac OS X,467.0,1
Mac OS X,500.0,4
Mac OS X,510.0,1
Mac OS X,533.0,1
Mac OS X,550.0,4
Mac OS X,567.0,2
Mac OS X,600.0,71
Mac OS X,625.0,2
Mac OS X,640.0,1
Mac OS X,650.0,29
Mac OS X,667.0,10
Mac OS X,700.0,211
Mac OS X,725.0,2
Mac OS X,733.0,2
Mac OS X,750.0,2
Mac OS X,775.0,1
Mac OS X,800.0,8
Mac OS X,811.0,1
Mac OS X,833.0,2
Mac OS X,875.0,1
Mac OS X,880.0,2
Mac OS X,900.0,41
Mac OS X,925.0,1
Mac OS X,933.0,2
Mac OS X,950.0,2
Mac OS X,1000.0,1
Mac OS X,1033.0,2
Mac OS X,1050.0,3
Mac OS X,1100.0,2
Mac OS X,1200.0,270
Mac OS X,1220.0,1
Mac OS X,1240.0,1
Mac OS X,1250.0,1
Mac OS X,1280.0,1
Mac OS X,1320.0,108
Mac OS X,1410.0,1
Mac OS X,1500.0,23
Mac OS X,1600.0,12
Mac OS X,3000.0,1
Mac OS X,300000.0,1146
Other,167.0,1
Other,348.0,1
Other,366.0,806
Other,390.0,1
Other,394.0,1
Other,399.0,2
Other,401.0,1
Other,410.0,1
Other,427.0,2
Other,447.0,1
Other,453.0,2
Other,455.0,1
Other,464.0,2
Other,468.0,1
Other,477.0,1
Other,483.0,1
Other,488.0,11
Other,497.0,1
Other,500.0,1
Other,505.0,1
Other,512.0,1
Other,519.0,1
Other,523.0,1
Other,527.0,2
Other,529.0,1
Other,532.0,1
Other,549.0,2
Other,551.0,1
Other,557.0,1
Other,561.0,2
Other,567.0,1
Other,569.0,1
Other,574.0,1
Other,575.0,3
Other,586.0,2
Other,591.0,1
Other,597.0,2
Other,600.0,1
Other,610.0,415
Other,616.0,1
Other,617.0,1
Other,620.0,1
Other,624.0,1
Other,628.0,1
Other,630.0,2
Other,634.0,1
Other,635.0,2
Other,640.0,1
Other,641.0,2
Other,657.0,1
Other,666.0,1
Other,671.0,248
Other,673.0,1
Other,674.0,2
Other,680.0,1
Other,683.0,1
Other,685.0,1
Other,688.0,1
Other,690.0,1
Other,702.0,1
Other,704.0,1
Other,713.0,1
Other,725.0,1
Other,727.0,18
Other,728.0,20
Other,732.0,2
Other,735.0,3
Other,736.0,1
Other,737.0,1
Other,750.0,4
Other,752.0,1
Other,757.0,1
Other,759.0,1
Other,767.0,1
Other,769.0,6
Other,774.0,1
Other,778.0,2
Other,781.0,1
Other,783.0,1
Other,797.0,2
Other,798.0,1
Other,805.0,6
Other,811.0,1
Other,813.0,1
Other,818.0,1
Other,820.0,1
Other,824.0,1
Other,826.0,1
Other,828.0,1
Other,834.0,2
Other,835.0,1
Other,838.0,1
Other,844.0,1
Other,849.0,2
Other,854.0,1
Other,859.0,2
Other,860.0,1
Other,862.0,1
Other,865.0,1
Other,866.0,1
Other,867.0,1
Other,869.0,1
Other,873.0,1
Other,879.0,1
Other,881.0,1
Other,887.0,1
Other,891.0,4
Other,895.0,1
Other,899.0,1
Other,903.0,1
Other,915.0,15
Other,920.0,2
Other,929.0,1
Other,933.0,1
Other,935.0,1
Other,936.0,1
Other,943.0,1
Other,946.0,1
Other,947.0,2
Other,956.0,1
Other,961.0,1
Other,965.0,1
Other,970.0,1
Other,978.0,1
Other,979.0,1
Other,980.0,2
Other,981.0,1
Other,984.0,2
Other,987.0,1
Other,993.0,1
Other,998.0,1
Other,1009.0,1
Other,1017.0,1
Other,1025.0,6
Other,1031.0,2
Other,1037.0,5
Other,1042.0,2
Other,1046.0,1
Other,1050.0,1
Other,1052.0,1
Other,1056.0,1
Other,1058.0,2
Other,1059.0,1
Other,1061.0,1
Other,1064.0,1
Other,1068.0,1
Other,1073.0,1
Other,1076.0,6
Other,1078.0,1
Other,1083.0,4
Other,1084.0,2
Other,1087.0,2
Other,1089.0,1
Other,1098.0,3
Other,1112.0,1
Other,1119.0,1
Other,1121.0,5
Other,1122.0,3
Other,1127.0,1
Other,1141.0,4
Other,1144.0,1
Other,1146.0,1
Other,1147.0,4
Other,1150.0,3
Other,1155.0,1
Other,1157.0,1
Other,1159.0,2
Other,1160.0,1
Other,1163.0,2
Other,1167.0,1
Other,1171.0,645
Other,1176.0,1
Other,1179.0,3
Other,1190.0,4
Other,1195.0,1
Other,1197.0,1
Other,1198.0,2
Other,1200.0,3
Other,1207.0,1
Other,1208.0,1
Other,1211.0,2
Other,1213.0,3
Other,1214.0,1
Other,1218.0,1
Other,1220.0,4
Other,1225.0,2
Other,1226.0,1
Other,1229.0,1
Other,1230.0,4
Other,1234.0,1
Other,1235.0,1
Other,1237.0,2
Other,1244.0,6
Other,1251.0,1
Other,1259.0,1
